energy_eV,cross_section_cm2
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,0.0
3.2,0.0
3.3,0.0
3.4,0.0
3.5,0.0
3.6,0.0
3.7,0.0
3.8,0.0
3.9,0.0
4.0,0.0
4.1,0.0
4.2,0.0
4.3,0.0
4.4,0.0
4.5,0.0
4.6,0.0
4.7,0.0
4.8,0.0
4.9,0.0
5.0,0.0
5.1,0.0
5.2,0.0
5.3,0.0
5.4,0.0
5.5,0.0
5.6,0.0
5.7,0.0
5.8,0.0
5.9,0.0
6.0,0.0
6.1,0.0
6.2,0.0
6.3,0.0
6.4,0.0
6.5,0.0
6.6,0.0
6.7,0.0
6.8,0.0
6.9,0.0
7.0,0.0
7.1,0.0
7.2,0.0
7.3,0.0
7.4,0.0
7.5,0.0
7.6,0.0
7.7,0.0
7.8,0.0
7.9,0.0
8.0,0.0
8.1,0.0
8.2,0.0
8.3,0.0
8.4,0.0
8.5,0.0
8.6,0.0
8.7,0.0
8.8,0.0
8.9,0.0
9.0,0.0
9.1,0.0
9.2,0.0
9.3,0.0
9.4,0.0
9.5,0.0
9.6,0.0
9.7,0.0
9.8,0.0
9.9,0.0
10.0,0.0
10.1,0.0
10.2,0.0
10.3,0.0
10.4,0.0
10.5,0.0
10.6,0.0
10.7,0.0
10.8,0.0
10.9,0.0
11.0,0.0
11.1,2.1405964599121299e-19
11.2,4.2171218680868e-19
11.3,6.232476083407724e-19
11.4,8.189558964758569e-19
11.5,1.0091270371023008e-18
11.6,1.1940510161084749e-18
11.7,1.3740178193827396e-18
11.8,1.549317432813465e-18
11.9,1.7202398422890193e-18
12.0,1.8870750336977686e-18
12.1,2.050112992928084e-18
12.2,2.2096437058683257e-18
12.3,2.3659571584068653e-18
12.4,2.5193433364320684e-18
12.5,2.6700922258323037e-18
12.6,2.818493812495939e-18
12.7,2.9648380823113386e-18
12.8,3.1094150211668716e-18
12.9,3.2525146149509045e-18
13.0,3.394426849551805e-18
13.1,3.535441710857943e-18
13.2,3.675849184757679e-18
13.3,3.815939257139386e-18
13.4,3.956001913891428e-18
13.5,4.096327140902173e-18
13.6,4.237204924059992e-18
13.7,4.378925249253246e-18
13.8,4.521778102370306e-18
13.9,4.6660534692995386e-18
14.0,4.812041335929309e-18
14.1,4.959931563868545e-18
14.2,5.10951351760838e-18
14.3,5.260476437360512e-18
14.4,5.412509563336635e-18
14.5,5.565302135748447e-18
14.6,5.718543394807645e-18
14.7,5.871922580725918e-18
14.8,6.025128933714962e-18
14.9,6.177851693986475e-18
15.0,6.32978010175215e-18
15.1,6.480603397223689e-18
15.2,6.6300108206127784e-18
15.3,6.777691612131115e-18
15.4,6.923335011990398e-18
15.5,7.066630260402319e-18
15.6,7.207266597578577e-18
15.7,7.344933263730863e-18
15.8,7.479319499070873e-18
15.9,7.610114543810303e-18
16.0,7.737007638160851e-18
16.1,7.859780715653463e-18
16.2,7.9785864830961e-18
16.3,8.093670340615976e-18
16.4,8.205277688340307e-18
16.5,8.313653926396315e-18
16.6,8.41904445491121e-18
16.7,8.521694674012205e-18
16.8,8.62184998382652e-18
16.9,8.719755784481364e-18
17.0,8.815657476103963e-18
17.1,8.909800458821525e-18
17.2,9.002430132761264e-18
17.3,9.093791898050402e-18
17.4,9.184131154816149e-18
