energy_eV,cross_section_cm2
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,0.0
3.2,0.0
3.3,0.0
3.4,0.0
3.5,0.0
3.6,0.0
3.7,0.0
3.8,0.0
3.9,0.0
4.0,0.0
4.1,0.0
4.2,0.0
4.3,0.0
4.4,0.0
4.5,0.0
4.6,0.0
4.7,0.0
4.8,0.0
4.9,0.0
5.0,0.0
5.1,0.0
5.2,0.0
5.3,0.0
5.4,0.0
5.5,0.0
5.6,0.0
5.7,0.0
5.8,0.0
5.9,0.0
6.0,0.0
6.1,0.0
6.2,0.0
6.3,0.0
6.4,0.0
6.5,0.0
6.6,0.0
6.7,0.0
6.8,0.0
6.9,0.0
7.0,0.0
7.1,0.0
7.2,0.0
7.3,0.0
7.4,0.0
7.5,0.0
7.6,0.0
7.7,0.0
7.8,0.0
7.9,0.0
8.0,0.0
8.1,0.0
8.2,0.0
8.3,0.0
8.4,0.0
8.5,0.0
8.6,0.0
8.7,0.0
8.8,0.0
8.9,0.0
9.0,0.0
9.1,0.0
9.2,0.0
9.3,0.0
9.4,0.0
9.5,0.0
9.6,0.0
9.7,0.0
9.8,0.0
9.9,0.0
10.0,0.0
10.1,0.0
10.2,0.0
10.3,0.0
10.4,0.0
10.5,0.0
10.6,0.0
10.7,0.0
10.8,0.0
10.9,0.0
11.0,0.0
11.1,0.0
11.2,0.0
11.3,0.0
11.4,0.0
11.5,0.0
11.6,0.0
11.7,0.0
11.8,0.0
11.9,0.0
12.0,0.0
12.1,0.0
12.2,0.0
12.3,0.0
12.4,1.6419421039567976e-21
12.5,3.451779954405883e-21
12.6,5.304931704549128e-21
12.7,7.201213946551685e-21
12.8,9.14041661661848e-21
12.9,1.1122304182203644e-20
13.0,1.3146616820638516e-20
13.1,1.5213071584692092e-20
13.2,1.732136355215422e-20
13.3,1.9471166958211307e-20
13.4,2.166213630643936e-20
13.5,2.3893907459197442e-20
13.6,2.6166098702640684e-20
13.7,2.847831178843538e-20
13.8,3.0830132948064847e-20
13.9,3.322113388070511e-20
14.0,3.5650872713189204e-20
14.1,3.81188949319732e-20
14.2,4.0624734286154406e-20
14.3,4.3167913661034323e-20
14.4,4.5747945924568246e-20
14.5,4.836433474164398e-20
14.6,5.1016575362967735e-20
14.7,5.370415538186208e-20
14.8,5.642655546512959e-20
14.9,5.918325005427306e-20
15.0,6.197370803940598e-20
15.1,6.479739340571086e-20
15.2,6.765376585326214e-20
15.3,7.054228139017801e-20
15.4,7.346239290080905e-20
15.5,7.641355068713264e-20
15.6,7.93952029880541e-20
15.7,8.240679647195854e-20
15.8,8.544777670871252e-20
15.9,8.851758861765514e-20
16.0,9.161567689292463e-20
16.1,9.474148640943776e-20
16.2,9.789446260698627e-20
16.3,1.0107405185453962e-19
16.4,1.0427970179505696e-19
16.5,1.0751086167304155e-19
16.6,1.1076698264217466e-19
16.7,1.1404751805673434e-19
16.8,1.1735192374674417e-19
16.9,1.2067965827562436e-19
17.0,1.240301831841824e-19
17.1,1.274029632172745e-19
17.2,1.3079746653903969e-19
17.3,1.3421316493324922e-19
17.4,1.3764953398807537e-19
17.5,1.411060532736668e-19
17.6,1.4458220650129444e-19
17.7,1.4807748167616437e-19
17.8,1.5159137123630208e-19
17.9,1.5512337218102007e-19
