energy_eV,cross_section_cm2
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,0.0
3.2,0.0
3.3,0.0
3.4,0.0
3.5,0.0
3.6,0.0
3.7,0.0
3.8,0.0
3.9,0.0
4.0,0.0
4.1,0.0
4.2,0.0
4.3,0.0
4.4,0.0
4.5,0.0
4.6,0.0
4.7,0.0
4.8,0.0
4.9,0.0
5.0,0.0
5.1,0.0
5.2,0.0
5.3,0.0
5.4,0.0
5.5,0.0
5.6,0.0
5.7,0.0
5.8,0.0
5.9,0.0
6.0,0.0
6.1,0.0
6.2,0.0
6.3,0.0
6.4,0.0
6.5,0.0
6.6,0.0
6.7,0.0
6.8,0.0
6.9,0.0
7.0,0.0
7.1,0.0
7.2,0.0
7.3,0.0
7.4,0.0
7.5,0.0
7.6,0.0
7.7,0.0
7.8,0.0
7.9,0.0
8.0,0.0
8.1,0.0
8.2,0.0
8.3,0.0
8.4,0.0
8.5,0.0
8.6,0.0
8.7,0.0
8.8,0.0
8.9,0.0
9.0,0.0
9.1,0.0
9.2,0.0
9.3,0.0
9.4,0.0
9.5,0.0
9.6,0.0
9.7,0.0
9.8,0.0
9.9,0.0
10.0,0.0
10.1,0.0
10.2,0.0
10.3,0.0
10.4,0.0
10.5,0.0
10.6,0.0
10.7,0.0
10.8,0.0
10.9,0.0
11.0,0.0
11.1,0.0
11.2,0.0
11.3,0.0
11.4,0.0
11.5,0.0
11.6,0.0
11.7,0.0
11.8,0.0
11.9,0.0
12.0,0.0
12.1,0.0
12.2,0.0
12.3,0.0
12.4,0.0
12.5,0.0
12.6,0.0
12.7,0.0
12.8,0.0
12.9,0.0
13.0,0.0
13.1,0.0
13.2,0.0
13.3,0.0
13.4,0.0
13.5,0.0
13.6,0.0
13.7,0.0
13.8,0.0
13.9,0.0
14.0,0.0
14.1,0.0
14.2,0.0
14.3,3e-22
14.4,1.2794898623968309e-19
14.5,2.515332647776416e-19
14.6,3.711446995570541e-19
14.7,4.868751545210926e-19
14.8,5.988164936129357e-19
14.9,7.070605807757595e-19
15.0,8.116992799527408e-19
15.1,9.12824455087057e-19
15.2,1.0105279701218816e-18
15.3,1.1049016890003925e-18
15.4,1.1960374756657662e-18
15.5,1.2840271940611788e-18
15.6,1.368962708129808e-18
15.7,1.4509358818148275e-18
15.8,1.5300385790594152e-18
15.9,1.6063626638067472e-18
16.0,1.6800000000000001e-18
16.1,1.7510424515823514e-18
16.2,1.819581882496976e-18
16.3,1.885710156687048e-18
16.4,1.9495191380957455e-18
16.5,2.011100690666249e-18
16.6,2.070546678341731e-18
16.7,2.1279489650653672e-18
16.8,2.1833994147803337e-18
16.9,2.236989891429808e-18
17.0,2.288812258956969e-18
17.1,2.33895838130499e-18
17.2,2.387520122417046e-18
17.3,2.434589346236318e-18
17.4,2.480257916705979e-18
17.5,2.5246176977692042e-18
17.6,2.5677605533691742e-18
17.7,2.6097783474490607e-18
17.8,2.6507629439520437e-18
17.9,2.690806206821299e-18
18.0,2.73e-18
18.1,2.7684228177186954e-18
18.2,2.8060996753574035e-18
18.3,2.8430422185835143e-18
18.4,2.879262093064417e-18
18.5,2.9147709444674987e-18
18.6,2.9495804184601513e-18
18.7,2.983702160709762e-18
18.8,3.0171478168837214e-18
18.9,3.0499290326494182e-18
