energy_eV,cross_section_cm2
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,0.0
3.2,0.0
3.3,0.0
3.4,0.0
3.5,0.0
3.6,0.0
3.7,0.0
3.8,0.0
3.9,0.0
4.0,0.0
4.1,0.0
4.2,0.0
4.3,1.6259866939758674e-20
4.4,3.0489740901602523e-20
4.5,4.3004217941862654e-20
4.6,5.411789411687005e-20
4.7,6.414536548295574e-20
4.8,7.340122809645058e-20
4.9,8.213551073253474e-20
5.0,9.033997304178524e-20
5.1,9.79596891758946e-20
5.2,1.0501126041561969e-19
5.3,1.115291698239837e-19
5.4,1.1754790046400988e-19
5.5,1.2310193539872127e-19
5.6,1.2822575769114109e-19
5.7,1.3295385040429245e-19
5.8,1.3732069660119857e-19
5.9,1.4136077934488255e-19
6.0,1.4510858169836756e-19
6.1,1.4859500596615578e-19
6.2,1.5183663141866528e-19
6.3,1.548464565677934e-19
6.4,1.5763747992543712e-19
6.5,1.6022270000349368e-19
6.6,1.6261511531386026e-19
6.7,1.6482772436843394e-19
6.8,1.66873525679112e-19
6.9,1.6876551775779148e-19
7.0,1.7051669911636964e-19
7.1,1.721387338667762e-19
7.2,1.7363794852107154e-19
7.3,1.7501933519134878e-19
7.4,1.7628788598970079e-19
7.5,1.7744859302822064e-19
7.6,1.7850644841900136e-19
7.7,1.7946644427413592e-19
7.8,1.803335727057173e-19
7.9,1.8111282582583862e-19
8.0,1.818091957465928e-19
8.1,1.8242755894115917e-19
8.2,1.8297232932706194e-19
8.3,1.8344780518291165e-19
8.4,1.838582847873189e-19
8.5,1.8420806641889418e-19
8.6,1.8450144835624805e-19
8.7,1.84742728877991e-19
8.8,1.8493620626273356e-19
8.9,1.8508617878908633e-19
9.0,1.8519694473565973e-19
9.1,1.8527234083736069e-19
9.2,1.8531435765428122e-19
9.3,1.853245242028096e-19
9.4,1.8530436949933422e-19
9.5,1.8525542256024338e-19
9.6,1.851792124019254e-19
9.7,1.8507726804076857e-19
9.8,1.8495111849316133e-19
9.9,1.8480229277549186e-19
10.0,1.8463231990414858e-19
10.1,1.844425676675801e-19
10.2,1.8423375894247603e-19
10.3,1.8400645537758646e-19
10.4,1.8376121862166135e-19
10.5,1.8349861032345064e-19
10.6,1.8321919213170442e-19
10.7,1.829235256951726e-19
10.8,1.8261217266260515e-19
10.9,1.822856946827521e-19
11.0,1.8194465340436347e-19
11.1,1.8158961047618914e-19
11.2,1.8122112754697917e-19
11.3,1.808397662654836e-19
11.4,1.804460882804523e-19
11.5,1.800406552406353e-19
11.6,1.7962402879478263e-19
11.7,1.7919677059164423e-19
11.8,1.787594422799701e-19
11.9,1.7831260550851027e-19
12.0,1.778568219260147e-19
12.1,1.7739264897072397e-19
12.2,1.769206272388414e-19
12.3,1.7644129311606095e-19
12.4,1.7595518298807643e-19
12.5,1.7546283324058183e-19
12.6,1.7496478025927105e-19
12.7,1.7446156042983798e-19
12.8,1.7395371013797657e-19
12.9,1.7344176576938074e-19
13.0,1.729262637097444e-19
13.1,1.7240774034476145e-19
13.2,1.7188673206012578e-19
13.3,1.7136377524153135e-19
13.4,1.7083940627467209e-19
13.5,1.703141615452419e-19
13.6,1.6978857743893466e-19
13.7,1.6926319034144434e-19
13.8,1.687385366384648e-19
