energy_eV,cross_section_cm2
1.0,4.003997354498729e-84
1.1,1.6979165986100396e-77
1.2,5.289914928900357e-72
1.3,2.2320729321668844e-67
1.4,1.970275053511745e-63
1.5,4.998100076038551e-60
1.6,4.6193846312890963e-57
1.7,1.8637858179616916e-54
1.8,3.776878264370988e-52
1.9,4.292710849375807e-50
2.0,2.988408361060683e-48
2.1,1.3681822448718782e-46
2.2,4.3657120163306713e-45
2.3,1.0184837048722253e-43
2.4,1.807680681182155e-42
2.5,2.523739488462885e-41
2.6,2.850733226219749e-40
2.7,2.6684557953532246e-39
2.8,2.1127826381272365e-38
2.9,1.4401241957271374e-37
3.0,8.580682521868167e-37
3.1,4.528791244555225e-36
3.2,2.1419768202585186e-35
3.3,9.171397321211418e-35
3.4,3.5870314391567084e-34
3.5,1.2916788229271793e-33
3.6,4.312681935004441e-33
3.7,1.3434872141915055e-32
3.8,3.926835637850193e-32
3.9,1.082312070963308e-31
4.0,2.825659706462905e-31
4.1,7.016303731220944e-31
4.2,1.6630736663607453e-30
4.3,3.775481860106791e-30
4.4,8.233818974316219e-30
4.5,1.7297782254066468e-29
4.6,3.5093506401155906e-29
4.7,6.891337785659419e-29
4.8,1.3125927357573855e-28
4.9,2.429629614201731e-28
5.0,4.378244288377975e-28
5.1,7.693340711493595e-28
5.2,1.3201860456988834e-27
5.3,2.215444158386173e-27
5.4,3.640383245341612e-27
5.5,5.864191483881101e-27
5.6,9.270874490632805e-27
5.7,1.4398841628329142e-26
5.8,2.199076941195503e-26
5.9,3.305541715184377e-26
6.0,4.894310752194998e-26
6.1,7.14365723029524e-26
6.2,1.0285879547235657e-25
6.3,1.4619935846909725e-25
6.4,2.0526060449654538e-25
6.5,2.848246911984695e-25
6.6,3.9084229741079928e-25
6.7,5.30643395691948e-25
6.8,7.13170105745894e-25
6.9,9.492312141541564e-25
7.0,1.2517774938257536e-24
7.1,1.6361964938861816e-24
7.2,2.1206250094644512e-24
7.3,2.726276992969855e-24
7.4,3.477784245562782e-24
7.5,4.403546840245897e-24
