energy_eV,cross_section_cm2
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,6.999535217482802e-20
2.1,6.196778523489933e-19
2.2,1.5579550647852054e-18
2.3,2.756844186899364e-18
2.4,4.088362416107388e-18
2.5,5.442570525677115e-18
2.6,6.781703592284238e-18
2.7,8.086040268456374e-18
2.8,9.337518238919452e-18
2.9,1.0524711317192619e-17
3.0,1.1637852348993288e-17
3.1,1.2669443600849923e-17
3.2,1.3621065022535034e-17
3.3,1.4496565984632165e-17
3.4,1.5299795857724857e-17
3.5,1.6034604012396635e-17
3.6,1.670483981923105e-17
3.7,1.7314352648811627e-17
3.8,1.786699187172192e-17
3.9,1.8366606858545456e-17
4.0,1.8817046979865772e-17
4.1,1.922174393774228e-17
4.2,1.95824587601379e-17
4.3,2.0105872324689234e-17
4.4,2.0562354732714626e-17
4.5,2.0957763921425393e-17
4.6,2.1300124650298045e-17
4.7,2.1598003384375402e-17
4.8,2.185996658870027e-17
4.9,2.2093352784577368e-17
5.0,2.2300588718359025e-17
5.1,2.2482893717233375e-17
5.2,2.264156920668405e-17
5.3,2.2777937136768555e-17
5.4,2.2893319457544397e-17
5.5,2.298903811906908e-17
5.6,2.3066415071400124e-17
5.7,2.3126772264595032e-17
5.8,2.317143164871131e-17
5.9,2.3201715173806465e-17
6.0,2.321894478993801e-17
6.1,2.3224338018834696e-17
6.2,2.3218694668910208e-17
6.3,2.3202710120249496e-17
6.4,2.317707975293747e-17
6.5,2.314249894705908e-17
6.6,2.3099663082699258e-17
6.7,2.3049267539942933e-17
6.8,2.299200769887503e-17
6.9,2.2928578939580505e-17
7.0,2.2859676642144272e-17
7.1,2.27859178911744e-17
7.2,2.2707606589371486e-17
7.3,2.2624968343959244e-17
7.4,2.2538228762161394e-17
7.5,2.2447613451201662e-17
7.6,2.2353348018303762e-17
7.7,2.2255658070691416e-17
7.8,2.215476921558835e-17
7.9,2.2050907060218278e-17
8.0,2.1944297211804926e-17
8.1,2.1835166520211576e-17
8.2,2.172374680585981e-17
8.3,2.1610271131810753e-17
8.4,2.1494972561125547e-17
8.5,2.137808415686534e-17
8.6,2.125983898209125e-17
8.7,2.1140470099864434e-17
8.8,2.102021057324602e-17
8.9,2.0899293465297146e-17
9.0,2.0777951839078958e-17
9.1,2.0656387990672003e-17
9.2,2.0534681148234554e-17
9.3,2.0412879772944277e-17
9.4,2.0291032325978857e-17
9.5,2.0169187268515976e-17
9.6,2.0047393061733304e-17
9.7,1.9925698166808524e-17
9.8,1.9804151044919317e-17
9.9,1.9682800157243365e-17
10.0,1.956169396495834e-17
10.1,1.9440873857894168e-17
10.2,1.9320352940489714e-17
10.3,1.9200137245836103e-17
10.4,1.9080232807024444e-17
10.5,1.8960645657145856e-17
10.6,1.8841381829291454e-17
10.7,1.8722447356552346e-17
10.8,1.8603848272019656e-17
10.9,1.8485590608784497e-17
11.0,1.8367680399937976e-17
11.1,1.8250123678571212e-17
11.2,1.8132926477775333e-17
11.3,1.8016094830641435e-17
11.4,1.7899634770260642e-17
11.5,1.778355232972407e-17
11.6,1.7667853542122826e-17
11.7,1.755254444054803e-17
11.8,1.7437631058090804e-17
11.9,1.7323119427842254e-17
12.0,1.7209015582893497e-17
12.1,1.709532785657427e-17
12.2,1.69820737831688e-17
12.3,1.686927319719994e-17
12.4,1.6756945933190538e-17
12.5,1.6645111825663445e-17
12.6,1.653379070914151e-17
12.7,1.6423002418147582e-17
