energy_eV,cross_section_cm2
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,0.0
3.2,0.0
3.3,0.0
3.4,0.0
3.5,0.0
3.6,0.0
3.7,0.0
3.8,0.0
3.9,0.0
4.0,0.0
4.1,0.0
4.2,0.0
4.3,0.0
4.4,0.0
4.5,0.0
4.6,0.0
4.7,0.0
4.8,0.0
4.9,0.0
5.0,0.0
5.1,0.0
5.2,0.0
5.3,0.0
5.4,0.0
5.5,0.0
5.6,0.0
5.7,0.0
5.8,0.0
5.9,0.0
6.0,0.0
6.1,0.0
6.2,0.0
6.3,0.0
6.4,0.0
6.5,0.0
6.6,0.0
6.7,0.0
6.8,0.0
6.9,0.0
7.0,0.0
7.1,0.0
7.2,0.0
7.3,0.0
7.4,0.0
7.5,0.0
7.6,0.0
7.7,0.0
7.8,0.0
7.9,0.0
8.0,0.0
8.1,0.0
8.2,0.0
8.3,0.0
8.4,0.0
8.5,0.0
8.6,0.0
8.7,0.0
8.8,0.0
8.9,0.0
9.0,0.0
9.1,0.0
9.2,0.0
9.3,0.0
9.4,0.0
9.5,0.0
9.6,0.0
9.7,0.0
9.8,0.0
9.9,0.0
10.0,0.0
10.1,0.0
10.2,0.0
10.3,0.0
10.4,0.0
10.5,0.0
10.6,0.0
10.7,0.0
10.8,0.0
10.9,0.0
11.0,0.0
11.1,6.780647236094301e-20
11.2,1.338853389287896e-19
11.3,1.9830544764733223e-19
11.4,2.611356464603621e-19
11.5,3.2244478331167037e-19
11.6,3.823017061450493e-19
11.7,4.40775262904288e-19
11.8,4.979343015331787e-19
11.9,5.538476699755127e-19
12.0,6.08584216175081e-19
12.1,6.622127880756759e-19
12.2,7.148022336210867e-19
12.3,7.664214007551056e-19
12.4,8.171391374215235e-19
12.5,8.670242915641321e-19
12.6,9.161457111267229e-19
12.7,9.645722440530857e-19
12.8,1.0123727382870128e-18
12.9,1.0596160417722952e-18
13.0,1.1063710024527238e-18
13.1,1.1527064682720908e-18
13.2,1.1986912871741858e-18
13.3,1.244394307102801e-18
13.4,1.2898843760017273e-18
13.5,1.3352303418147563e-18
13.6,1.3805010524856795e-18
13.7,1.4257653559582868e-18
13.8,1.4710921001763702e-18
13.9,1.516550133083721e-18
14.0,1.5622083026241299e-18
14.1,1.6081109968503035e-18
14.2,1.6542047642506012e-18
14.3,1.7004116934222995e-18
14.4,1.7466432923705563e-18
14.5,1.7927687467320632e-18
14.6,1.838646661551394e-18
14.7,1.884135641873122e-18
14.8,1.929094292741821e-18
14.9,1.973381219202065e-18
15.0,2.01690760507212e-18
15.1,2.059794949265021e-18
15.2,2.1022173294674925e-18
15.3,2.1443488233662593e-18
15.4,2.1863104978382383e-18
15.5,2.2280113765211076e-18
15.6,2.269307472242736e-18
15.7,2.31005479783099e-18
15.8,2.350109366113739e-18
15.9,2.389327189918851e-18
16.0,2.427564282074195e-18
16.1,2.464712953309612e-18
16.2,2.500810705962843e-18
16.3,2.5359313402736015e-18
16.4,2.5701486564816016e-18
16.5,2.60353645482656e-18
16.6,2.6361685355481892e-18
16.7,2.6681186988862035e-18
16.8,2.699460548298348e-18
16.9,2.730266900114489e-18
17.0,2.760610373882527e-18
17.1,2.790563589150359e-18
17.2,2.820199165465882e-18
17.3,2.8495897223769952e-18
