energy_eV,cross_section_cm2
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,0.0
3.2,0.0
3.3,0.0
3.4,0.0
3.5,0.0
3.6,0.0
3.7,0.0
3.8,0.0
3.9,0.0
4.0,0.0
4.1,0.0
4.2,0.0
4.3,0.0
4.4,0.0
4.5,0.0
4.6,0.0
4.7,0.0
4.8,0.0
4.9,0.0
5.0,0.0
5.1,0.0
5.2,0.0
5.3,0.0
5.4,0.0
5.5,0.0
5.6,0.0
5.7,0.0
5.8,0.0
5.9,0.0
6.0,0.0
6.1,0.0
6.2,0.0
6.3,0.0
6.4,0.0
6.5,0.0
6.6,0.0
6.7,0.0
6.8,0.0
6.9,0.0
7.0,0.0
7.1,0.0
7.2,0.0
7.3,0.0
7.4,0.0
7.5,0.0
7.6,0.0
7.7,0.0
7.8,0.0
7.9,0.0
8.0,0.0
8.1,0.0
8.2,0.0
8.3,0.0
8.4,0.0
8.5,0.0
8.6,0.0
8.7,0.0
8.8,0.0
8.9,0.0
9.0,0.0
9.1,0.0
9.2,0.0
9.3,0.0
9.4,0.0
9.5,0.0
9.6,0.0
9.7,0.0
9.8,0.0
9.9,0.0
10.0,0.0
10.1,0.0
10.2,0.0
10.3,0.0
10.4,0.0
10.5,0.0
10.6,0.0
10.7,0.0
10.8,0.0
10.9,0.0
11.0,0.0
11.1,0.0
11.2,0.0
11.3,0.0
11.4,0.0
11.5,0.0
11.6,0.0
11.7,0.0
11.8,0.0
11.9,0.0
12.0,0.0
12.1,0.0
12.2,0.0
12.3,0.0
12.4,5.003139214895082e-22
12.5,1.0517871251038478e-21
12.6,1.6164584475548785e-21
12.7,2.194272002893355e-21
12.8,2.7851637828690342e-21
12.9,3.389062018683626e-21
13.0,4.005887540128913e-21
13.1,4.6355541307430754e-21
13.2,5.277968878098602e-21
13.3,5.9330325188469376e-21
13.4,6.600639777247647e-21
13.5,7.280679697420701e-21
13.6,7.973035967865132e-21
13.7,8.677587238878606e-21
13.8,9.394207431625171e-21
13.9,1.0122766039149495e-20
14.0,1.0863128418886266e-20
14.1,1.1615156076638286e-20
14.2,1.2378706941733908e-20
14.3,1.3153635633209188e-20
14.4,1.3939793717728392e-20
14.5,1.473702995770175e-20
14.6,1.5545190551665765e-20
14.7,1.6364119364886123e-20
14.8,1.7193658152058106e-20
14.9,1.8033646770974456e-20
15.0,1.8883923387871722e-20
15.1,1.974432467441167e-20
15.2,2.061468599654667e-20
15.3,2.1494841595258193e-20
15.4,2.2384624759688764e-20
15.5,2.328386799210952e-20
15.6,2.4192403166155752e-20
15.7,2.5110061676911704e-20
15.8,2.6036674584733516e-20
15.9,2.6972072751756033e-20
16.0,2.791608697149342e-20
16.1,2.886854809254465e-20
16.2,2.9829287135630964e-20
16.3,3.079813540460204e-20
16.4,3.177492459150327e-20
16.5,3.275948687638427e-20
16.6,3.3751655021037734e-20
16.7,3.4751262457797114e-20
16.8,3.5758143373376924e-20
16.9,3.677213278738119e-20
17.0,3.779306662664953e-20
17.1,3.8820781794322844e-20
17.2,3.985511623542697e-20
17.3,4.089590899792096e-20
17.4,4.194300028899764e-20
17.5,4.299623152919236e-20
17.6,4.405544540087621e-20
17.7,4.5120485894819294e-20
17.8,4.6191198352510067e-20
17.9,4.726742950530046e-20
