energy_eV,cross_section_cm2
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,0.0
3.2,0.0
3.3,0.0
3.4,0.0
3.5,0.0
3.6,0.0
3.7,0.0
3.8,0.0
3.9,0.0
4.0,0.0
4.1,0.0
4.2,0.0
4.3,0.0
4.4,0.0
4.5,0.0
4.6,0.0
4.7,0.0
4.8,0.0
4.9,0.0
5.0,0.0
5.1,0.0
5.2,0.0
5.3,0.0
5.4,0.0
5.5,0.0
5.6,0.0
5.7,0.0
5.8,0.0
5.9,0.0
6.0,0.0
6.1,0.0
6.2,0.0
6.3,0.0
6.4,0.0
6.5,0.0
6.6,0.0
6.7,0.0
6.8,0.0
6.9,0.0
7.0,0.0
7.1,0.0
7.2,0.0
7.3,0.0
7.4,0.0
7.5,0.0
7.6,0.0
7.7,0.0
7.8,0.0
7.9,0.0
8.0,0.0
8.1,0.0
8.2,0.0
8.3,0.0
8.4,0.0
8.5,0.0
8.6,0.0
8.7,0.0
8.8,0.0
8.9,0.0
9.0,0.0
9.1,0.0
9.2,0.0
9.3,0.0
9.4,0.0
9.5,0.0
9.6,0.0
9.7,0.0
9.8,0.0
9.9,0.0
10.0,0.0
10.1,0.0
10.2,0.0
10.3,0.0
10.4,0.0
10.5,0.0
10.6,0.0
10.7,0.0
10.8,0.0
10.9,0.0
11.0,0.0
11.1,2.09752988676983e-19
11.2,4.1416179020279417e-19
11.3,6.134393792607036e-19
11.4,8.077987305339773e-19
11.5,9.974528187058812e-19
11.6,1.1826146184596853e-18
11.7,1.3634971044786492e-18
11.8,1.5403132514460416e-18
11.9,1.7132760340451296e-18
12.0,1.882598426959179e-18
12.1,2.048493404871459e-18
12.2,2.2111739424652297e-18
12.3,2.3708530144237605e-18
12.4,2.527743595430317e-18
12.5,2.6820586601681665e-18
12.6,2.8340111833205767e-18
12.7,2.983814139570809e-18
12.8,3.1316805036021326e-18
12.9,3.277823250097814e-18
13.0,3.4224553537411178e-18
13.1,3.565789789215314e-18
13.2,3.7080395312036625e-18
13.3,3.849417554389434e-18
13.4,3.990136833455893e-18
13.5,4.1304103430863056e-18
13.6,4.270451057963943e-18
13.7,4.410471952772062e-18
13.8,4.550686002193936e-18
13.9,4.691306180912829e-18
14.0,4.8325454636120054e-18
14.1,4.974541160586378e-18
14.2,5.117127924577409e-18
14.3,5.260064743938212e-18
14.4,5.403077876948479e-18
14.5,5.545762661594239e-18
14.6,5.687681705788103e-18
14.7,5.82839761744268e-18
14.8,5.967473004470577e-18
14.9,6.104470474784409e-18
15.0,6.239115283821998e-18
15.1,6.371783277122017e-18
15.2,6.503012947748341e-18
15.3,6.633342788764856e-18
15.4,6.763147309246858e-18
15.5,6.892145082315294e-18
15.6,7.019890697102529e-18
15.7,7.14593874274092e-18
15.8,7.269843808362829e-18
15.9,7.391160483100622e-18
16.0,7.509443356086656e-18
16.1,7.62435930062259e-18
16.2,7.736024326687257e-18
16.3,7.844666728428777e-18
16.4,7.950514799995284e-18
16.5,8.053796835534908e-18
16.6,8.154741129195772e-18
16.7,8.253575975126003e-18
16.8,8.350529058747085e-18
16.9,8.445825630573942e-18
17.0,8.53969033239485e-18
17.1,8.632347805998089e-18
17.2,8.72402269317193e-18
17.3,8.814939635704661e-18
17.4,8.905323275384554e-18
