energy_eV,cross_section_cm2
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,0.0
3.2,0.0
3.3,0.0
3.4,0.0
3.5,0.0
3.6,0.0
3.7,0.0
3.8,0.0
3.9,0.0
4.0,0.0
4.1,0.0
4.2,0.0
4.3,0.0
4.4,0.0
4.5,0.0
4.6,0.0
4.7,0.0
4.8,0.0
4.9,0.0
5.0,0.0
5.1,0.0
5.2,0.0
5.3,0.0
5.4,0.0
5.5,0.0
5.6,0.0
5.7,0.0
5.8,0.0
5.9,0.0
6.0,0.0
6.1,0.0
6.2,0.0
6.3,0.0
6.4,0.0
6.5,0.0
6.6,0.0
6.7,0.0
6.8,0.0
6.9,0.0
7.0,0.0
7.1,0.0
7.2,0.0
7.3,0.0
7.4,0.0
7.5,0.0
7.6,0.0
7.7,0.0
7.8,0.0
7.9,0.0
8.0,0.0
8.1,0.0
8.2,0.0
8.3,0.0
8.4,0.0
8.5,0.0
8.6,0.0
8.7,0.0
8.8,0.0
8.9,0.0
9.0,0.0
9.1,0.0
9.2,0.0
9.3,0.0
9.4,0.0
9.5,0.0
9.6,0.0
9.7,0.0
9.8,0.0
9.9,0.0
10.0,6.8817986577181215e-18
10.1,7.123690154405852e-18
10.2,7.361249122069193e-18
10.3,7.594515160492364e-18
10.4,7.823527869459592e-18
10.5,8.048326848755105e-18
10.6,8.268951698163133e-18
10.7,8.485442017467892e-18
10.8,8.697837406453615e-18
10.9,8.906177464904527e-18
11.0,9.110501792604853e-18
11.1,9.310849989338822e-18
11.2,9.50726165489066e-18
11.3,9.699776389044589e-18
11.4,9.888433791584834e-18
11.5,1.0073273462295626e-17
11.6,1.0254335000961194e-17
11.7,1.0431658007365756e-17
11.8,1.0605282081293543e-17
11.9,1.0775246822528777e-17
12.0,1.094159183085569e-17
12.1,1.1104356706058505e-17
12.2,1.1263581047921446e-17
12.3,1.141930445622874e-17
12.4,1.1571566530764613e-17
12.5,1.1720406871313297e-17
12.6,1.1865865077659015e-17
12.7,1.2007980749585986e-17
12.8,1.2146793486878444e-17
12.9,1.2282342889320612e-17
13.0,1.2414668556696715e-17
13.1,1.2543810088790987e-17
13.2,1.2669807085387639e-17
13.3,1.2792699146270911e-17
13.4,1.2912525871225022e-17
13.5,1.3029326860034201e-17
13.6,1.3143141712482677e-17
13.7,1.3254010028354667e-17
13.8,1.3361971407434405e-17
13.9,1.3467065449506114e-17
14.0,1.3569331754354021e-17
14.1,1.3668809921762352e-17
14.2,1.3765539551515332e-17
14.3,1.3862058063988133e-17
14.4,1.3958436879242867e-17
14.5,1.4052130354295583e-17
14.6,1.4143178490131735e-17
14.7,1.4231621287736764e-17
14.8,1.4317498748096104e-17
14.9,1.4400850872195202e-17
15.0,1.44817176610195e-17
15.1,1.4560139115554445e-17
15.2,1.4636155236785467e-17
15.3,1.4709806025698018e-17
15.4,1.478113148327753e-17
15.5,1.4850171610509456e-17
15.6,1.4916966408379233e-17
15.7,1.4981555877872302e-17
15.8,1.5043980019974104e-17
15.9,1.5104278835670083e-17
16.0,1.5162492325945684e-17
16.1,1.5218660491786342e-17
16.2,1.5272823334177504e-17
16.3,1.53250208541046e-17
16.4,1.537529305255309e-17
16.5,1.542367993050841e-17
16.6,1.5470221488955997e-17
