energy_eV,cross_section_cm2
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,2.2627271928630022e-20
2.1,2.0032214765100673e-19
2.2,5.036373388826065e-19
2.3,8.912000746282135e-19
2.4,1.3216375838926193e-18
2.5,1.7594100100767942e-18
2.6,2.1923091541664855e-18
2.7,2.6139597315436243e-18
2.8,3.0185227699526475e-18
2.9,3.4023045465880232e-18
3.0,3.762147651006711e-18
3.1,4.095628304360011e-18
3.2,4.403257254176512e-18
3.3,4.6862788795791376e-18
3.4,4.945937559690806e-18
3.5,5.183477673634436e-18
3.6,5.4001436005329505e-18
3.7,5.5971797195092665e-18
3.8,5.775830409686306e-18
3.9,5.937340050186986e-18
4.0,6.082953020134229e-18
4.1,6.21377867969644e-18
4.2,6.330386313223976e-18
4.3,6.499589277253004e-18
4.4,6.647155526383769e-18
4.5,6.774978745469666e-18
4.6,6.8856530841105585e-18
4.7,6.981947808092937e-18
4.8,7.066632183203285e-18
4.9,7.142078520058758e-18
5.0,7.209071308599189e-18
5.1,7.268004718537256e-18
5.2,7.319299459354347e-18
5.3,7.363382875474027e-18
5.4,7.400682311319858e-18
5.5,7.431625111315406e-18
5.6,7.456638619884232e-18
5.7,7.476150181449904e-18
5.8,7.490587140435984e-18
5.9,7.500376841266034e-18
6.0,7.505946628363621e-18
6.1,7.50769008779381e-18
6.2,7.50586577218767e-18
6.3,7.500698475817778e-18
6.4,7.492412992956697e-18
6.5,7.481234117877003e-18
6.6,7.46738664485127e-18
6.7,7.451095368152067e-18
6.8,7.432585082051965e-18
6.9,7.41208058082354e-18
7.0,7.389806658739357e-18
7.1,7.365962799633644e-18
7.2,7.34064724558723e-18
7.3,7.313932928242598e-18
7.4,7.285892779242227e-18
7.5,7.256599730228602e-18
7.6,7.2261267128442e-18
7.7,7.194546658731506e-18
7.8,7.161932499533001e-18
7.9,7.128357166891167e-18
8.0,7.093893592448484e-18
8.1,7.0586151095533e-18
8.2,7.022596658377417e-18
8.3,6.985913580798503e-18
8.4,6.948641218694228e-18
8.5,6.910854913942259e-18
8.6,6.8726300084202635e-18
8.7,6.8340418440059094e-18
8.8,6.7951657625768664e-18
8.9,6.756077106010801e-18
9.0,6.716851216185382e-18
9.1,6.677553488991661e-18
9.2,6.638209536374225e-18
9.3,6.5988350242910454e-18
9.4,6.559445618700093e-18
9.5,6.520056985559339e-18
9.6,6.480684790826752e-18
9.7,6.4413447004603054e-18
9.8,6.402052380417968e-18
9.9,6.362823496657714e-18
10.0,6.32367371513751e-18
10.1,6.2846164158734265e-18
10.2,6.245655835113904e-18
10.3,6.20679392316549e-18
10.4,6.168032630334723e-18
10.5,6.129373906928146e-18
10.6,6.0908197032523e-18
10.7,6.052371969613725e-18
10.8,6.014032656318966e-18
10.9,5.975803713674562e-18
11.0,5.937687091987055e-18
11.1,5.899684741562986e-18
11.2,5.8617986127089e-18
11.3,5.8240306557313344e-18
11.4,5.786382820936832e-18
11.5,5.748857058631937e-18
11.6,5.711455319123186e-18
11.7,5.674179552717126e-18
11.8,5.637031709720296e-18
11.9,5.600013740439237e-18
12.0,5.5631275951804914e-18
12.1,5.526375967844613e-18
12.2,5.489764526708209e-18
12.3,5.4532996836419e-18
12.4,5.416987850516303e-18
12.5,5.380835439202039e-18
12.6,5.344848861569724e-18
12.7,5.309034529489983e-18
12.8,5.2733988548334315e-18
12.9,5.237948249470691e-18
13.0,5.202689125272379e-18
13.1,5.167627894109116e-18
